No model found.
Episode 255 | Total reward: -1.6600000000000004 | Epsilon: 0.09884
Episode 256 | Total reward: -1.8700000000000003 | Epsilon: 0.09883
Episode 257 | Total reward: -1.9100000000000004 | Epsilon: 0.09883
Episode 258 | Total reward: -1.7700000000000002 | Epsilon: 0.09882
Episode 259 | Total reward: -1.9300000000000002 | Epsilon: 0.09882
Episode 260 | Total reward: -1.7200000000000002 | Epsilon: 0.09881
Episode 261 | Total reward: -1.6500000000000004 | Epsilon: 0.09881
Episode 262 | Total reward: -1.7700000000000005 | Epsilon: 0.09880
Episode 263 | Total reward: 3.2400000000000007 | Epsilon: 0.09880
Episode 264 | Total reward: -1.9900000000000002 | Epsilon: 0.09879
Episode 265 | Total reward: -2.0500000000000003 | Epsilon: 0.09879
Episode 266 | Total reward: -1.6900000000000002 | Epsilon: 0.09878
Episode 267 | Total reward: -1.9700000000000002 | Epsilon: 0.09878
Episode 268 | Total reward: -1.6800000000000002 | Epsilon: 0.09877
Episode 269 | Total reward: -1.7700000000000002 | Epsilon: 0.09877
Episode 270 | Total reward: -2.0900000000000003 | Epsilon: 0.09876
Saved model at step 12600
Episode 271 | Total reward: 2.9900000000000055 | Epsilon: 0.09875
Episode 272 | Total reward: -1.6900000000000004 | Epsilon: 0.09875
Episode 273 | Total reward: -1.6700000000000004 | Epsilon: 0.09874
Episode 274 | Total reward: -1.6900000000000002 | Epsilon: 0.09874
Episode 275 | Total reward: -1.6800000000000002 | Epsilon: 0.09873
Episode 276 | Total reward: -1.7100000000000004 | Epsilon: 0.09873
Episode 277 | Total reward: -1.6800000000000002 | Epsilon: 0.09872
Episode 278 | Total reward: -1.7700000000000002 | Epsilon: 0.09872
Episode 279 | Total reward: -1.6900000000000002 | Epsilon: 0.09871
Episode 280 | Total reward: -1.7800000000000002 | Epsilon: 0.09871
Episode 281 | Total reward: -1.7000000000000002 | Epsilon: 0.09870
Episode 282 | Total reward: -1.7000000000000002 | Epsilon: 0.09870
Episode 283 | Total reward: -1.7700000000000002 | Epsilon: 0.09869
Episode 284 | Total reward: 3.24 | Epsilon: 0.09869
Episode 285 | Total reward: -1.8700000000000003 | Epsilon: 0.09868
Episode 286 | Total reward: -1.7300000000000004 | Epsilon: 0.09868
Episode 287 | Total reward: -1.9900000000000002 | Epsilon: 0.09867
Episode 288 | Total reward: 3.200000000000001 | Epsilon: 0.09866
Episode 289 | Total reward: -2.0400000000000005 | Epsilon: 0.09866
Episode 290 | Total reward: -1.7100000000000002 | Epsilon: 0.09865
Episode 291 | Total reward: -2.0000000000000004 | Epsilon: 0.09865
Episode 292 | Total reward: -1.7600000000000002 | Epsilon: 0.09864
Episode 293 | Total reward: -1.6900000000000004 | Epsilon: 0.09864
Episode 294 | Total reward: -1.7000000000000004 | Epsilon: 0.09863
Episode 295 | Total reward: 3.210000000000001 | Epsilon: 0.09863
Episode 296 | Total reward: -1.8900000000000003 | Epsilon: 0.09862
Episode 297 | Total reward: -1.6900000000000002 | Epsilon: 0.09862
Episode 298 | Total reward: -1.7000000000000004 | Epsilon: 0.09861
Episode 299 | Total reward: -1.8900000000000003 | Epsilon: 0.09861
Episode 300 | Total reward: -1.86 | Epsilon: 0.09860
Episode 301 | Total reward: -1.7200000000000002 | Epsilon: 0.09860
Episode 302 | Total reward: -2.0100000000000002 | Epsilon: 0.09859
Episode 303 | Total reward: -1.7400000000000004 | Epsilon: 0.09859
Episode 304 | Total reward: -1.82 | Epsilon: 0.09858
Episode 305 | Total reward: -1.7200000000000002 | Epsilon: 0.09858
Episode 306 | Total reward: -1.7300000000000002 | Epsilon: 0.09857
Episode 307 | Total reward: -1.8 | Epsilon: 0.09857
Episode 308 | Total reward: -1.9900000000000002 | Epsilon: 0.09856
Saved model at step 14600
Episode 309 | Total reward: 2.930000000000007 | Epsilon: 0.09855
Episode 310 | Total reward: -1.7300000000000002 | Epsilon: 0.09855
Episode 311 | Total reward: -2.0000000000000004 | Epsilon: 0.09854
Episode 312 | Total reward: -2.1300000000000003 | Epsilon: 0.09854
Episode 313 | Total reward: -1.7000000000000002 | Epsilon: 0.09853
Episode 314 | Total reward: -1.6800000000000004 | Epsilon: 0.09853
Episode 315 | Total reward: -2.1000000000000005 | Epsilon: 0.09852
Episode 316 | Total reward: -1.7800000000000002 | Epsilon: 0.09852
Episode 317 | Total reward: -1.9200000000000002 | Epsilon: 0.09851
Episode 318 | Total reward: -1.7900000000000003 | Epsilon: 0.09851
Episode 319 | Total reward: -1.6800000000000004 | Epsilon: 0.09850
Episode 320 | Total reward: 3.2100000000000013 | Epsilon: 0.09850
Episode 321 | Total reward: -1.86 | Epsilon: 0.09849
Episode 322 | Total reward: -5.3500000000000005 | Epsilon: 0.09849
Episode 323 | Total reward: -1.7100000000000004 | Epsilon: 0.09848
Episode 324 | Total reward: -1.9400000000000002 | Epsilon: 0.09848
Episode 325 | Total reward: -1.7500000000000002 | Epsilon: 0.09847
Episode 326 | Total reward: -1.9900000000000002 | Epsilon: 0.09847
Episode 327 | Total reward: -1.7400000000000002 | Epsilon: 0.09846
Episode 328 | Total reward: -1.7400000000000002 | Epsilon: 0.09846
Episode 329 | Total reward: -1.6900000000000004 | Epsilon: 0.09845
Episode 330 | Total reward: -1.7000000000000004 | Epsilon: 0.09844
Episode 331 | Total reward: 3.1500000000000017 | Epsilon: 0.09844
Episode 332 | Total reward: 3.2300000000000004 | Epsilon: 0.09843
Episode 333 | Total reward: -1.7800000000000002 | Epsilon: 0.09843
Episode 334 | Total reward: -1.7300000000000002 | Epsilon: 0.09842
Episode 335 | Total reward: -1.7800000000000002 | Epsilon: 0.09842
Episode 336 | Total reward: -1.6800000000000004 | Epsilon: 0.09841
Episode 337 | Total reward: 3.23 | Epsilon: 0.09841
Episode 338 | Total reward: -5.45 | Epsilon: 0.09840
Episode 339 | Total reward: -1.7600000000000005 | Epsilon: 0.09839
Episode 340 | Total reward: -1.8300000000000003 | Epsilon: 0.09839
Episode 341 | Total reward: -1.7100000000000002 | Epsilon: 0.09839
Episode 342 | Total reward: -1.6700000000000004 | Epsilon: 0.09838
Episode 343 | Total reward: -1.7100000000000004 | Epsilon: 0.09837
Episode 344 | Total reward: -2.0600000000000005 | Epsilon: 0.09837
Episode 345 | Total reward: -1.7700000000000002 | Epsilon: 0.09836
Episode 346 | Total reward: 3.23 | Epsilon: 0.09836
Episode 347 | Total reward: -1.6700000000000002 | Epsilon: 0.09835
Episode 348 | Total reward: -1.7600000000000005 | Epsilon: 0.09835
Episode 349 | Total reward: -1.6800000000000002 | Epsilon: 0.09834
Episode 350 | Total reward: -5.48 | Epsilon: 0.09834
Episode 351 | Total reward: -1.86 | Epsilon: 0.09833
Episode 352 | Total reward: -1.6900000000000002 | Epsilon: 0.09833
Episode 353 | Total reward: -1.6900000000000002 | Epsilon: 0.09832
Episode 354 | Total reward: -1.7000000000000002 | Epsilon: 0.09832
Episode 355 | Total reward: -1.7300000000000002 | Epsilon: 0.09831
Episode 356 | Total reward: 3.24 | Epsilon: 0.09831
Episode 357 | Total reward: -1.7000000000000002 | Epsilon: 0.09830
Episode 358 | Total reward: -2.1500000000000004 | Epsilon: 0.09830
Episode 359 | Total reward: -1.8900000000000003 | Epsilon: 0.09829
Episode 360 | Total reward: 3.23 | Epsilon: 0.09829
