Episode 352 | Total reward: 32.88491015625 | Epsilon: 0.08495
Episode 353 | Total reward: 36.771421875 | Epsilon: 0.08490
Episode 354 | Total reward: 40.96043359375 | Epsilon: 0.08484
Episode 355 | Total reward: 39.26244140625001 | Epsilon: 0.08479
Episode 356 | Total reward: 37.0164765625 | Epsilon: 0.08473
Episode 357 | Total reward: 38.75430078125001 | Epsilon: 0.08468
Episode 358 | Total reward: 42.58604687499999 | Epsilon: 0.08462
Episode 359 | Total reward: 33.702851562499994 | Epsilon: 0.08456
Episode 360 | Total reward: 40.295257812500004 | Epsilon: 0.08451
Episode 361 | Total reward: 37.1268359375 | Epsilon: 0.08445
Episode 362 | Total reward: 35.977656249999995 | Epsilon: 0.08440
Episode 363 | Total reward: 39.14108984374999 | Epsilon: 0.08434
Episode 364 | Total reward: 38.12061718749999 | Epsilon: 0.08428
Episode 365 | Total reward: 11.243066406250001 | Epsilon: 0.08425
Episode 366 | Total reward: 37.19265234374998 | Epsilon: 0.08420
Episode 367 | Total reward: 12.031570312499998 | Epsilon: 0.08416
Episode 368 | Total reward: 33.40692187499999 | Epsilon: 0.08411
Episode 369 | Total reward: 39.31778125 | Epsilon: 0.08405
Episode 370 | Total reward: 38.39388281250001 | Epsilon: 0.08400
Episode 371 | Total reward: 37.466417968749994 | Epsilon: 0.08394
Episode 372 | Total reward: 37.0460859375 | Epsilon: 0.08389
Episode 373 | Total reward: 33.54311328125 | Epsilon: 0.08383
Episode 374 | Total reward: 11.130753906249996 | Epsilon: 0.08380
Episode 375 | Total reward: 40.87911718750001 | Epsilon: 0.08374
Episode 376 | Total reward: 36.71469140624998 | Epsilon: 0.08369
Episode 377 | Total reward: 33.58869531249999 | Epsilon: 0.08363
Episode 378 | Total reward: 33.963039062499995 | Epsilon: 0.08358
Episode 379 | Total reward: 28.876039062499995 | Epsilon: 0.08352
Episode 380 | Total reward: 41.814179687499994 | Epsilon: 0.08347
Episode 381 | Total reward: 35.42744140624999 | Epsilon: 0.08341
Episode 382 | Total reward: 38.21255078125 | Epsilon: 0.08336
Episode 383 | Total reward: 42.335171875 | Epsilon: 0.08330
Episode 384 | Total reward: 37.40434765624998 | Epsilon: 0.08325
Episode 385 | Total reward: 42.33191406250001 | Epsilon: 0.08319
Episode 386 | Total reward: 13.602421874999994 | Epsilon: 0.08316
Episode 387 | Total reward: 41.82156249999998 | Epsilon: 0.08310
Episode 388 | Total reward: 40.85188281250001 | Epsilon: 0.08305
Episode 389 | Total reward: 42.65091015624999 | Epsilon: 0.08299
Episode 390 | Total reward: 41.039753906250006 | Epsilon: 0.08294
Episode 391 | Total reward: 33.941167968749994 | Epsilon: 0.08288
Episode 392 | Total reward: 41.746203125 | Epsilon: 0.08283
Episode 393 | Total reward: 32.11646875 | Epsilon: 0.08278
Episode 394 | Total reward: 40.08802734375001 | Epsilon: 0.08272
Episode 395 | Total reward: 39.08279296875 | Epsilon: 0.08267
Episode 396 | Total reward: 40.830382812500005 | Epsilon: 0.08261
Episode 397 | Total reward: 45.98762109374999 | Epsilon: 0.08255
Episode 398 | Total reward: 32.27987109374998 | Epsilon: 0.08250
Episode 399 | Total reward: 37.817105468750015 | Epsilon: 0.08245
Episode 400 | Total reward: 33.123269531249996 | Epsilon: 0.08239
Episode 401 | Total reward: 44.255874999999996 | Epsilon: 0.08234
Episode 402 | Total reward: 46.51987890624999 | Epsilon: 0.08228
Episode 403 | Total reward: 41.357804687499986 | Epsilon: 0.08223
Episode 404 | Total reward: 42.584710937500006 | Epsilon: 0.08217
Episode 405 | Total reward: 40.21241796875001 | Epsilon: 0.08212
Episode 406 | Total reward: 41.84367187500001 | Epsilon: 0.08206
Episode 407 | Total reward: 41.59630859374998 | Epsilon: 0.08201
Episode 408 | Total reward: 42.21330078125 | Epsilon: 0.08195
Episode 409 | Total reward: 35.72770703124999 | Epsilon: 0.08190
Episode 410 | Total reward: 54.94070703125002 | Epsilon: 0.08183
Episode 411 | Total reward: 35.65640624999999 | Epsilon: 0.08178
Episode 412 | Total reward: 26.25075390625002 | Epsilon: 0.08173
Episode 413 | Total reward: 28.640121093750004 | Epsilon: 0.08168
