No model found.
Episode 414 | Total reward: 47 | Epsilon: 0.09393
Episode 415 | Total reward: 38 | Epsilon: 0.09391
Episode 416 | Total reward: 46 | Epsilon: 0.09389
Episode 417 | Total reward: 39 | Epsilon: 0.09388
Episode 418 | Total reward: 43 | Epsilon: 0.09386
Episode 419 | Total reward: 39 | Epsilon: 0.09385
Episode 420 | Total reward: 38 | Epsilon: 0.09383
Episode 421 | Total reward: 50 | Epsilon: 0.09381
Episode 422 | Total reward: 39 | Epsilon: 0.09380
Episode 423 | Total reward: 48 | Epsilon: 0.09378
Episode 424 | Total reward: 38 | Epsilon: 0.09376
Episode 425 | Total reward: 38 | Epsilon: 0.09375
Episode 426 | Total reward: 49 | Epsilon: 0.09373
Episode 427 | Total reward: 47 | Epsilon: 0.09371
Episode 428 | Total reward: 38 | Epsilon: 0.09370
Episode 429 | Total reward: 38 | Epsilon: 0.09368
Episode 430 | Total reward: 39 | Epsilon: 0.09366
Episode 431 | Total reward: 38 | Epsilon: 0.09365
Episode 432 | Total reward: 46 | Epsilon: 0.09363
Episode 433 | Total reward: 52 | Epsilon: 0.09361
Episode 434 | Total reward: 38 | Epsilon: 0.09360
Episode 435 | Total reward: 38 | Epsilon: 0.09358
Episode 436 | Total reward: 39 | Epsilon: 0.09357
Episode 437 | Total reward: 49 | Epsilon: 0.09355
Episode 438 | Total reward: 38 | Epsilon: 0.09353
Episode 439 | Total reward: 49 | Epsilon: 0.09351
Saved model at step 20200
Episode 440 | Total reward: 56 | Epsilon: 0.09349
Episode 441 | Total reward: 38 | Epsilon: 0.09348
Episode 442 | Total reward: 38 | Epsilon: 0.09346
Episode 443 | Total reward: 39 | Epsilon: 0.09345
Episode 444 | Total reward: 38 | Epsilon: 0.09343
Episode 445 | Total reward: 38 | Epsilon: 0.09342
Episode 446 | Total reward: 38 | Epsilon: 0.09340
Episode 447 | Total reward: 38 | Epsilon: 0.09339
Episode 448 | Total reward: 37 | Epsilon: 0.09337
Episode 449 | Total reward: 50 | Epsilon: 0.09335
Episode 450 | Total reward: 38 | Epsilon: 0.09334
Episode 451 | Total reward: 38 | Epsilon: 0.09332
Episode 452 | Total reward: 41 | Epsilon: 0.09330
Episode 453 | Total reward: 48 | Epsilon: 0.09329
Episode 454 | Total reward: 39 | Epsilon: 0.09327
Episode 455 | Total reward: 42 | Epsilon: 0.09325
Episode 456 | Total reward: 41 | Epsilon: 0.09324
Episode 457 | Total reward: 49 | Epsilon: 0.09322
Episode 458 | Total reward: 83 | Epsilon: 0.09319
Episode 459 | Total reward: 38 | Epsilon: 0.09318
Episode 460 | Total reward: 51 | Epsilon: 0.09316
Episode 461 | Total reward: 51 | Epsilon: 0.09314
Episode 462 | Total reward: 49 | Epsilon: 0.09312
Episode 463 | Total reward: 44 | Epsilon: 0.09310
Episode 464 | Total reward: 38 | Epsilon: 0.09309
Episode 465 | Total reward: 38 | Epsilon: 0.09307
Episode 466 | Total reward: 51 | Epsilon: 0.09305
Episode 467 | Total reward: 47 | Epsilon: 0.09303
Episode 468 | Total reward: 38 | Epsilon: 0.09302
Episode 469 | Total reward: 44 | Epsilon: 0.09300
Episode 470 | Total reward: 38 | Epsilon: 0.09299
Episode 471 | Total reward: 38 | Epsilon: 0.09297
Episode 472 | Total reward: 40 | Epsilon: 0.09296
Episode 473 | Total reward: 38 | Epsilon: 0.09294
Episode 474 | Total reward: 39 | Epsilon: 0.09292
Episode 475 | Total reward: 38 | Epsilon: 0.09291
Episode 476 | Total reward: 53 | Epsilon: 0.09289
Episode 477 | Total reward: 38 | Epsilon: 0.09287
Episode 478 | Total reward: 54 | Epsilon: 0.09285
Episode 479 | Total reward: 45 | Epsilon: 0.09284
Episode 480 | Total reward: 32 | Epsilon: 0.09282
Episode 481 | Total reward: 48 | Epsilon: 0.09281
Episode 482 | Total reward: 57 | Epsilon: 0.09278
Episode 483 | Total reward: 48 | Epsilon: 0.09277
Episode 484 | Total reward: 38 | Epsilon: 0.09275
Episode 485 | Total reward: 41 | Epsilon: 0.09274
Episode 486 | Total reward: 38 | Epsilon: 0.09272
Episode 487 | Total reward: 38 | Epsilon: 0.09270
Episode 488 | Total reward: 38 | Epsilon: 0.09269
Episode 489 | Total reward: 49 | Epsilon: 0.09267
Episode 490 | Total reward: 38 | Epsilon: 0.09266
Episode 491 | Total reward: 48 | Epsilon: 0.09264
Episode 492 | Total reward: 75 | Epsilon: 0.09261
Episode 493 | Total reward: 38 | Epsilon: 0.09260
Episode 494 | Total reward: 38 | Epsilon: 0.09258
Episode 495 | Total reward: 47 | Epsilon: 0.09256
Episode 496 | Total reward: 56 | Epsilon: 0.09254
